Country,Highest level of education attained by adult (%),Highest Level of Education Attained
Australia,18.0,Below Upper Secondary
Austria,10.6,Below Upper Secondary
Belgium,6.7,Below Upper Secondary
Canada,6.9,Below Upper Secondary
Chile,15.8,Below Upper Secondary
Czech Republic,6.1,Below Upper Secondary
Denmark,13.8,Below Upper Secondary
Estonia,12.2,Below Upper Secondary
Finland,6.2,Below Upper Secondary
France,8.5,Below Upper Secondary
Germany,7.5,Below Upper Secondary
Greece,8.6,Below Upper Secondary
Ireland,9.7,Below Upper Secondary
Israel,6.1,Below Upper Secondary
Italy,13.4,Below Upper Secondary
Japan,ce,Below Upper Secondary
Korea,1.3,Below Upper Secondary
Netherlands,13.2,Below Upper Secondary
New Zealand,10.5,Below Upper Secondary
Norway,16.1,Below Upper Secondary
Poland,4.7,Below Upper Secondary
Slovenia,8.6,Below Upper Secondary
Spain,23.6,Below Upper Secondary
Sweden,14.2,Below Upper Secondary
Turkey,15.3,Below Upper Secondary
UK,15.1,Below Upper Secondary
Northern Ireland,18.4,Below Upper Secondary
United States,6.9,Below Upper Secondary
OECD average,10.7,Below Upper Secondary
Lithuania,14.2,Below Upper Secondary
Australia,44.9,Upper Secondary
Austria,72.0,Upper Secondary
Belgium,51.9,Upper Secondary
Canada,41.4,Upper Secondary
Chile,46.8,Upper Secondary
Czech Republic,77.1,Upper Secondary
Denmark,49.5,Upper Secondary
Estonia,47.7,Upper Secondary
Finland,46.6,Upper Secondary
France,51.0,Upper Secondary
Germany,66.3,Upper Secondary
Greece,49.8,Upper Secondary
Ireland,45.4,Upper Secondary
Israel,44.1,Upper Secondary
Italy,54.7,Upper Secondary
Japan,48.0,Upper Secondary
Korea,38.9,Upper Secondary
Netherlands,46.3,Upper Secondary
New Zealand,39.6,Upper Secondary
Norway,45.5,Upper Secondary
Poland,60.7,Upper Secondary
Slovenia,57.7,Upper Secondary
Spain,29.6,Upper Secondary
Sweden,52.8,Upper Secondary
Turkey,33.5,Upper Secondary
UK,40.4,Upper Secondary
Northern Ireland,41.7,Upper Secondary
United States,58.5,Upper Secondary
OECD average,50.2,Upper Secondary
Lithuania,67.0,Upper Secondary
Australia,37.2,Tertiary
Austria,17.3,Tertiary
Belgium,41.4,Tertiary
Canada,51.6,Tertiary
Chile,37.4,Tertiary
Czech Republic,16.7,Tertiary
Denmark,36.7,Tertiary
Estonia,40.0,Tertiary
Finland,47.2,Tertiary
France,40.5,Tertiary
Germany,26.3,Tertiary
Greece,41.6,Tertiary
Ireland,45.0,Tertiary
Israel,49.9,Tertiary
Italy,31.9,Tertiary
Japan,44.0,Tertiary
Korea,59.7,Tertiary
Netherlands,40.5,Tertiary
New Zealand,49.9,Tertiary
Norway,38.4,Tertiary
Poland,34.6,Tertiary
Slovenia,33.8,Tertiary
Spain,46.8,Tertiary
Sweden,33.0,Tertiary
Turkey,51.3,Tertiary
UK,44.5,Tertiary
Northern Ireland,39.9,Tertiary
United States,34.6,Tertiary
OECD average,39.1,Tertiary
Lithuania,18.8,Tertiary
